Dataset,DM method,Dim,n_sample,n_cluster,Intrinsic Dim (reconstructed),Intrinsic Dim (data)
blobs_dim3_n1500_y5,DBM_orig_torch,3,1500,5,2.0,3.0
blobs_dim3_n1500_y5,DeepView,3,1500,5,2.8,3.0
blobs_dim3_n1500_y5,SSNP,3,1500,5,2.0,3.0
blobs_dim3_n1500_y5,SSNP_3,3,1500,5,2.4,3.0
blobs_dim3_n1500_y5,SSNP_10,3,1500,5,2.2,3.0
blobs_dim3_n1500_y5,SSNP_30,3,1500,5,2.2,3.0
blobs_dim3_n1500_y5,DBM_3,3,1500,5,2.6,3.0
blobs_dim3_n1500_y5,DBM_10,3,1500,5,2.8,3.0
blobs_dim3_n1500_y5,DBM_30,3,1500,5,3.0,3.0
blobs_dim10_n1500_y5,DBM_orig_torch,10,1500,5,2.0,9.0
blobs_dim10_n1500_y5,DeepView,10,1500,5,6.8,9.0
blobs_dim10_n1500_y5,SSNP,10,1500,5,2.0,9.0
blobs_dim10_n1500_y5,SSNP_3,10,1500,5,2.4,9.0
blobs_dim10_n1500_y5,SSNP_10,10,1500,5,3.0,9.0
blobs_dim10_n1500_y5,SSNP_30,10,1500,5,2.6,9.0
blobs_dim10_n1500_y5,DBM_3,10,1500,5,4.4,9.0
blobs_dim10_n1500_y5,DBM_10,10,1500,5,6.0,9.0
blobs_dim10_n1500_y5,DBM_30,10,1500,5,8.2,9.0
blobs_dim30_n1500_y5,DBM_orig_torch,30,1500,5,2.0,27.0
blobs_dim30_n1500_y5,DeepView,30,1500,5,13.8,27.0
blobs_dim30_n1500_y5,SSNP,30,1500,5,2.0,27.0
blobs_dim30_n1500_y5,SSNP_3,30,1500,5,2.6,27.0
blobs_dim30_n1500_y5,SSNP_10,30,1500,5,2.6,27.0
blobs_dim30_n1500_y5,SSNP_30,30,1500,5,2.6,27.0
blobs_dim30_n1500_y5,DBM_3,30,1500,5,2.8,27.0
blobs_dim30_n1500_y5,DBM_10,30,1500,5,15.8,27.0
blobs_dim30_n1500_y5,DBM_30,30,1500,5,2.0,27.0
blobs_dim100_n1500_y5,DBM_orig_torch,100,1500,5,1.6,81.0
blobs_dim100_n1500_y5,DeepView,100,1500,5,16.0,81.0
blobs_dim100_n1500_y5,SSNP,100,1500,5,2.0,81.0
blobs_dim100_n1500_y5,SSNP_3,100,1500,5,2.4,81.0
blobs_dim100_n1500_y5,SSNP_10,100,1500,5,3.0,81.0
blobs_dim100_n1500_y5,SSNP_30,100,1500,5,4.0,81.0
blobs_dim100_n1500_y5,DBM_3,100,1500,5,1.8,81.0
blobs_dim100_n1500_y5,DBM_10,100,1500,5,1.8,81.0
blobs_dim100_n1500_y5,DBM_30,100,1500,5,1.4,81.0
blobs_dim300_n1500_y5,DBM_orig_torch,300,1500,5,1.8,177.4
blobs_dim300_n1500_y5,DeepView,300,1500,5,20.0,177.4
blobs_dim300_n1500_y5,SSNP,300,1500,5,1.6,177.4
blobs_dim300_n1500_y5,SSNP_3,300,1500,5,2.2,177.4
blobs_dim300_n1500_y5,SSNP_10,300,1500,5,3.0,177.4
blobs_dim300_n1500_y5,SSNP_30,300,1500,5,3.0,177.4
blobs_dim300_n1500_y5,DBM_3,300,1500,5,1.8,177.4
blobs_dim300_n1500_y5,DBM_10,300,1500,5,1.8,177.4
blobs_dim300_n1500_y5,DBM_30,300,1500,5,1.8,177.4
blobs_dim3_n1000_y2,DBM_orig_torch,3,1000,2,2.0,3.0
blobs_dim3_n1000_y2,DeepView,3,1000,2,3.0,3.0
blobs_dim3_n1000_y2,SSNP,3,1000,2,2.0,3.0
blobs_dim3_n1000_y2,SSNP_3,3,1000,2,1.5,3.0
blobs_dim3_n1000_y2,SSNP_10,3,1000,2,2.0,3.0
blobs_dim3_n1000_y2,SSNP_30,3,1000,2,2.0,3.0
blobs_dim3_n1000_y2,DBM_3,3,1000,2,3.0,3.0
blobs_dim3_n1000_y2,DBM_10,3,1000,2,3.0,3.0
blobs_dim3_n1000_y2,DBM_30,3,1000,2,3.0,3.0
blobs_dim10_n1000_y2,DBM_orig_torch,10,1000,2,4.5,9.0
blobs_dim10_n1000_y2,DeepView,10,1000,2,8.0,9.0
