Dataset,DM method,Dim,n_sample,n_cluster,Intrinsic Dim (reconstructed),Intrinsic Dim (data)
blobs_dim10_n1000_y2,SSNP,10,1000,2,1.5,9.0
blobs_dim10_n1000_y2,SSNP_3,10,1000,2,1.0,9.0
blobs_dim10_n1000_y2,SSNP_10,10,1000,2,2.0,9.0
blobs_dim10_n1000_y2,SSNP_30,10,1000,2,1.5,9.0
blobs_dim10_n1000_y2,DBM_3,10,1000,2,5.0,9.0
blobs_dim10_n1000_y2,DBM_10,10,1000,2,8.0,9.0
blobs_dim10_n1000_y2,DBM_30,10,1000,2,8.0,9.0
blobs_dim30_n1000_y2,DBM_orig_torch,30,1000,2,5.5,25.0
blobs_dim30_n1000_y2,DeepView,30,1000,2,20.0,25.0
blobs_dim30_n1000_y2,SSNP,30,1000,2,1.0,25.0
blobs_dim30_n1000_y2,SSNP_3,30,1000,2,1.0,25.0
blobs_dim30_n1000_y2,SSNP_10,30,1000,2,1.5,25.0
blobs_dim30_n1000_y2,SSNP_30,30,1000,2,1.0,25.0
blobs_dim30_n1000_y2,DBM_3,30,1000,2,10.5,25.0
blobs_dim30_n1000_y2,DBM_10,30,1000,2,18.0,25.0
blobs_dim30_n1000_y2,DBM_30,30,1000,2,16.5,25.0
blobs_dim100_n1000_y2,DBM_orig_torch,100,1000,2,9.0,78.5
blobs_dim100_n1000_y2,DeepView,100,1000,2,50.0,78.5
blobs_dim100_n1000_y2,SSNP,100,1000,2,1.0,78.5
blobs_dim100_n1000_y2,SSNP_3,100,1000,2,1.0,78.5
blobs_dim100_n1000_y2,SSNP_10,100,1000,2,1.0,78.5
blobs_dim100_n1000_y2,SSNP_30,100,1000,2,1.0,78.5
blobs_dim100_n1000_y2,DBM_3,100,1000,2,15.0,78.5
blobs_dim100_n1000_y2,DBM_10,100,1000,2,30.0,78.5
blobs_dim100_n1000_y2,DBM_30,100,1000,2,1.5,78.5
blobs_dim300_n1000_y2,DBM_orig_torch,300,1000,2,1.5,200.0
blobs_dim300_n1000_y2,DeepView,300,1000,2,76.5,200.0
blobs_dim300_n1000_y2,SSNP,300,1000,2,1.0,200.0
blobs_dim300_n1000_y2,SSNP_3,300,1000,2,1.0,200.0
blobs_dim300_n1000_y2,SSNP_10,300,1000,2,1.0,200.0
blobs_dim300_n1000_y2,SSNP_30,300,1000,2,1.0,200.0
blobs_dim300_n1000_y2,DBM_3,300,1000,2,1.5,200.0
blobs_dim300_n1000_y2,DBM_10,300,1000,2,1.5,200.0
blobs_dim300_n1000_y2,DBM_30,300,1000,2,1.0,200.0
blobs_dim3_n1000_y3,DBM_orig_torch,3,1000,3,3.0,3.0
blobs_dim3_n1000_y3,DeepView,3,1000,3,3.0,3.0
blobs_dim3_n1000_y3,SSNP,3,1000,3,2.0,3.0
blobs_dim3_n1000_y3,SSNP_3,3,1000,3,2.0,3.0
blobs_dim3_n1000_y3,SSNP_10,3,1000,3,2.0,3.0
blobs_dim3_n1000_y3,SSNP_30,3,1000,3,2.0,3.0
blobs_dim3_n1000_y3,DBM_3,3,1000,3,3.0,3.0
blobs_dim3_n1000_y3,DBM_10,3,1000,3,3.0,3.0
blobs_dim3_n1000_y3,DBM_30,3,1000,3,3.0,3.0
blobs_dim10_n1000_y3,DBM_orig_torch,10,1000,3,4.0,9.0
blobs_dim10_n1000_y3,DeepView,10,1000,3,8.0,9.0
blobs_dim10_n1000_y3,SSNP,10,1000,3,2.0,9.0
blobs_dim10_n1000_y3,SSNP_3,10,1000,3,2.0,9.0
blobs_dim10_n1000_y3,SSNP_10,10,1000,3,2.0,9.0
blobs_dim10_n1000_y3,SSNP_30,10,1000,3,2.0,9.0
blobs_dim10_n1000_y3,DBM_3,10,1000,3,5.666666666666667,9.0
blobs_dim10_n1000_y3,DBM_10,10,1000,3,6.0,9.0
blobs_dim10_n1000_y3,DBM_30,10,1000,3,8.0,9.0
blobs_dim30_n1000_y3,DBM_orig_torch,30,1000,3,3.6666666666666665,26.0
blobs_dim30_n1000_y3,DeepView,30,1000,3,17.333333333333332,26.0
blobs_dim30_n1000_y3,SSNP,30,1000,3,2.0,26.0
blobs_dim30_n1000_y3,SSNP_3,30,1000,3,1.6666666666666667,26.0
blobs_dim30_n1000_y3,SSNP_10,30,1000,3,2.0,26.0
blobs_dim30_n1000_y3,SSNP_30,30,1000,3,2.0,26.0
blobs_dim30_n1000_y3,DBM_3,30,1000,3,3.0,26.0
blobs_dim30_n1000_y3,DBM_10,30,1000,3,10.0,26.0
blobs_dim30_n1000_y3,DBM_30,30,1000,3,12.0,26.0
blobs_dim100_n1000_y3,DBM_orig_torch,100,1000,3,3.3333333333333335,79.33333333333333
blobs_dim100_n1000_y3,DeepView,100,1000,3,34.333333333333336,79.33333333333333
blobs_dim100_n1000_y3,SSNP,100,1000,3,1.6666666666666667,79.33333333333333
blobs_dim100_n1000_y3,SSNP_3,100,1000,3,1.3333333333333333,79.33333333333333
blobs_dim100_n1000_y3,SSNP_10,100,1000,3,2.0,79.33333333333333
blobs_dim100_n1000_y3,SSNP_30,100,1000,3,2.0,79.33333333333333
blobs_dim100_n1000_y3,DBM_3,100,1000,3,3.3333333333333335,79.33333333333333
blobs_dim100_n1000_y3,DBM_10,100,1000,3,28.333333333333332,79.33333333333333
blobs_dim100_n1000_y3,DBM_30,100,1000,3,2.0,79.33333333333333
blobs_dim300_n1000_y3,DBM_orig_torch,300,1000,3,2.0,179.0
blobs_dim300_n1000_y3,DeepView,300,1000,3,37.666666666666664,179.0
blobs_dim300_n1000_y3,SSNP,300,1000,3,1.6666666666666667,179.0
blobs_dim300_n1000_y3,SSNP_3,300,1000,3,1.6666666666666667,179.0
blobs_dim300_n1000_y3,SSNP_10,300,1000,3,2.0,179.0
blobs_dim300_n1000_y3,SSNP_30,300,1000,3,2.0,179.0
blobs_dim300_n1000_y3,DBM_3,300,1000,3,2.6666666666666665,179.0
blobs_dim300_n1000_y3,DBM_10,300,1000,3,1.3333333333333333,179.0
blobs_dim300_n1000_y3,DBM_30,300,1000,3,1.6666666666666667,179.0
